iteration_id,task_count,task_locations
1,36,"[[3,16],[3,24],[3,40],[5,7],[5,12],[5,13],[5,17],[5,34],[6,4],[6,6],[6,6],[6,11],[6,14],[6,21],[6,30],[8,14],[8,23],[8,24],[8,40],[9,14],[9,22],[9,32],[9,38],[11,7],[11,17],[11,21],[12,7],[12,16],[12,17],[14,2],[14,20],[14,21],[14,30],[15,40],[17,13],[17,33]]"
2,36,"[[3,29],[3,34],[5,5],[5,7],[5,15],[5,41],[5,43],[6,16],[6,34],[6,41],[8,2],[8,3],[8,15],[8,21],[8,25],[8,33],[8,34],[9,25],[9,26],[9,31],[9,38],[11,26],[11,42],[12,4],[12,11],[12,14],[14,7],[14,15],[14,21],[14,33],[15,17],[15,33],[15,33],[17,3],[17,21],[17,40]]"
3,36,"[[3,35],[3,44],[5,7],[5,15],[5,20],[5,38],[5,38],[5,43],[6,2],[6,13],[6,23],[8,14],[8,17],[8,17],[8,22],[9,2],[9,21],[9,22],[9,24],[11,8],[11,16],[11,29],[12,8],[12,15],[12,42],[12,44],[14,4],[14,8],[14,26],[14,41],[15,15],[15,25],[17,24],[17,25],[17,33],[17,34]]"
4,36,"[[3,3],[5,13],[5,14],[5,24],[5,41],[6,12],[6,17],[6,20],[6,30],[6,32],[6,42],[8,21],[8,22],[8,23],[9,31],[11,7],[11,11],[11,14],[11,16],[11,22],[11,29],[12,7],[12,31],[14,6],[14,12],[15,42],[17,6],[17,14],[17,26],[17,30],[17,34],[17,34],[17,35],[17,42],[17,43],[17,44]]"
5,36,"[[3,6],[3,38],[5,24],[5,30],[5,38],[5,38],[6,4],[6,8],[6,13],[6,14],[6,24],[6,25],[6,41],[8,4],[8,11],[8,23],[8,33],[9,14],[9,14],[9,39],[9,43],[11,5],[11,15],[11,25],[11,34],[12,5],[12,24],[14,40],[15,5],[15,31],[15,33],[15,38],[15,41],[15,42],[17,11],[17,26]]"
6,36,"[[3,12],[3,14],[3,39],[5,3],[5,5],[5,6],[5,7],[5,11],[5,26],[5,31],[5,43],[6,7],[6,15],[6,26],[6,31],[6,40],[6,42],[8,21],[8,23],[8,29],[8,33],[9,32],[11,15],[11,32],[11,35],[12,26],[12,34],[12,43],[14,23],[14,39],[14,41],[15,44],[17,22],[17,26],[17,29],[17,40]]"
7,36,"[[3,7],[3,12],[3,39],[5,2],[5,5],[5,23],[5,31],[5,34],[6,15],[6,26],[6,33],[6,33],[6,41],[6,44],[8,3],[8,14],[8,31],[9,15],[9,17],[9,32],[11,14],[11,15],[11,20],[11,29],[11,34],[11,42],[12,22],[12,24],[12,40],[12,41],[14,12],[14,17],[14,33],[15,31],[15,32],[17,17]]"
8,36,"[[3,13],[3,24],[3,25],[3,31],[3,34],[5,8],[5,12],[5,31],[6,23],[6,32],[6,44],[8,21],[8,24],[9,7],[9,15],[9,20],[9,35],[9,38],[9,38],[9,41],[11,3],[11,22],[11,42],[12,24],[12,25],[14,4],[14,20],[15,7],[15,8],[15,11],[15,15],[15,16],[15,25],[15,31],[17,38],[17,44]]"
9,36,"[[3,15],[3,16],[3,33],[3,39],[3,40],[5,5],[6,24],[6,24],[6,30],[6,38],[8,5],[8,11],[8,11],[8,21],[8,41],[9,14],[9,16],[9,26],[9,29],[11,5],[11,29],[11,42],[12,16],[12,26],[12,41],[14,24],[14,42],[14,43],[15,14],[15,32],[15,38],[17,7],[17,12],[17,16],[17,23],[17,41]]"
10,36,"[[3,23],[3,26],[3,29],[3,35],[3,40],[3,42],[5,2],[5,2],[5,30],[5,43],[6,8],[8,3],[8,6],[8,8],[8,16],[8,33],[8,35],[9,6],[9,14],[9,14],[9,29],[9,32],[11,2],[11,14],[11,29],[11,42],[11,44],[12,38],[12,42],[14,12],[14,16],[14,39],[15,2],[15,30],[17,8],[17,14]]"
11,36,"[[3,4],[3,21],[5,3],[5,12],[5,21],[5,32],[6,17],[6,22],[6,24],[6,30],[8,4],[8,12],[8,25],[8,40],[9,8],[9,11],[9,15],[9,22],[9,24],[9,33],[11,20],[11,29],[11,40],[11,42],[12,2],[12,24],[12,30],[14,2],[14,26],[14,31],[14,43],[15,21],[17,13],[17,31],[17,42],[17,43]]"
12,36,"[[3,3],[3,5],[3,16],[3,23],[3,25],[5,5],[5,13],[5,17],[6,2],[6,7],[6,22],[6,24],[6,44],[8,6],[8,12],[8,30],[9,11],[9,21],[9,24],[9,31],[9,34],[11,2],[11,14],[11,35],[11,40],[11,44],[12,3],[12,5],[12,21],[12,33],[15,17],[15,29],[17,14],[17,22],[17,25],[17,44]]"
13,36,"[[3,17],[3,24],[3,39],[5,3],[5,15],[5,43],[6,2],[6,17],[6,33],[8,4],[8,5],[8,24],[8,25],[8,25],[8,29],[8,33],[9,8],[9,25],[9,26],[9,38],[9,43],[11,3],[11,7],[11,7],[11,16],[11,39],[12,29],[12,30],[14,6],[14,15],[14,30],[14,34],[15,25],[15,44],[17,25],[17,33]]"
14,36,"[[3,22],[3,33],[3,43],[5,5],[5,7],[5,11],[5,39],[6,4],[6,14],[6,20],[6,35],[6,43],[8,8],[9,2],[9,4],[9,8],[9,16],[9,32],[9,35],[11,35],[12,13],[12,13],[12,14],[12,20],[12,34],[12,40],[14,5],[14,20],[14,21],[15,8],[15,24],[15,38],[15,39],[15,40],[17,31],[17,32]]"
15,36,"[[3,2],[3,11],[3,22],[3,24],[3,25],[3,32],[3,43],[5,30],[5,30],[5,39],[6,6],[6,7],[6,8],[6,12],[6,14],[6,26],[6,39],[6,40],[8,6],[8,20],[8,26],[8,30],[8,32],[9,11],[9,40],[9,41],[11,15],[11,22],[11,24],[12,4],[12,22],[12,24],[14,43],[15,2],[15,3],[15,35]]"
16,36,"[[3,3],[3,11],[3,22],[3,25],[5,2],[5,4],[5,12],[5,44],[6,4],[6,26],[6,29],[6,30],[6,44],[8,38],[8,41],[9,31],[9,32],[9,42],[11,13],[11,39],[12,6],[12,7],[12,26],[12,31],[12,42],[14,5],[14,6],[14,16],[14,41],[15,22],[17,17],[17,22],[17,32],[17,35],[17,40],[17,44]]"
17,36,"[[3,4],[3,25],[3,30],[3,31],[5,3],[5,13],[5,14],[5,17],[5,34],[5,35],[5,43],[6,2],[6,6],[6,33],[8,6],[8,16],[8,23],[8,29],[9,6],[9,13],[9,31],[9,40],[11,6],[11,7],[11,8],[11,38],[11,39],[11,43],[12,35],[14,25],[15,2],[15,20],[15,38],[17,2],[17,4],[17,7]]"
18,36,"[[3,6],[5,5],[5,7],[5,14],[5,38],[6,39],[8,2],[8,22],[8,38],[9,7],[9,14],[9,16],[9,17],[9,23],[9,29],[9,44],[11,5],[11,26],[12,7],[12,39],[12,42],[14,7],[14,16],[14,17],[14,41],[15,7],[15,25],[15,38],[15,40],[17,14],[17,24],[17,31],[17,32],[17,35],[17,41],[17,44]]"
19,36,"[[3,3],[3,44],[5,21],[5,30],[6,7],[6,16],[6,30],[8,25],[8,40],[8,44],[9,3],[9,20],[9,23],[9,35],[11,25],[11,33],[11,33],[11,41],[12,6],[12,13],[12,17],[12,23],[12,39],[14,12],[14,32],[14,32],[14,35],[15,4],[15,7],[15,7],[15,13],[15,38],[15,42],[17,5],[17,31],[17,31]]"
20,36,"[[3,16],[3,20],[3,43],[5,7],[5,41],[6,13],[6,15],[6,40],[8,12],[8,15],[8,26],[8,38],[8,41],[9,8],[9,23],[9,24],[9,25],[9,29],[9,44],[11,12],[11,14],[11,23],[11,34],[12,25],[12,38],[12,38],[14,15],[14,22],[14,24],[14,25],[14,43],[14,44],[15,4],[15,5],[17,13],[17,16]]"
21,36,"[[3,8],[3,26],[3,30],[5,21],[5,23],[5,25],[5,32],[5,39],[5,41],[6,30],[8,13],[8,25],[9,6],[9,14],[9,26],[11,2],[11,2],[11,17],[11,26],[11,32],[11,44],[12,23],[12,25],[12,35],[12,38],[14,2],[14,7],[14,20],[14,26],[14,40],[14,42],[15,3],[15,17],[15,29],[15,29],[17,26]]"
22,36,"[[3,16],[3,24],[5,6],[5,11],[5,32],[5,32],[5,43],[6,24],[6,29],[6,43],[6,44],[8,12],[8,25],[8,41],[9,3],[9,8],[9,24],[9,38],[9,42],[11,3],[11,11],[11,30],[11,41],[12,21],[12,38],[14,14],[14,16],[14,22],[14,40],[14,42],[15,31],[17,16],[17,23],[17,34],[17,40],[17,43]]"
23,36,"[[3,7],[3,8],[3,12],[3,42],[5,6],[5,7],[5,34],[6,5],[6,13],[6,13],[6,41],[8,4],[8,34],[8,40],[8,42],[9,6],[9,12],[9,29],[11,4],[11,22],[11,23],[11,25],[11,41],[12,13],[12,16],[12,30],[12,35],[14,14],[14,25],[14,38],[15,4],[15,5],[15,5],[17,4],[17,16],[17,38]]"
24,36,"[[3,2],[3,13],[3,15],[3,29],[3,35],[5,8],[5,13],[5,16],[5,30],[5,43],[6,11],[6,20],[6,24],[6,33],[6,33],[6,38],[6,42],[8,5],[8,7],[8,14],[8,26],[8,32],[9,3],[9,14],[11,12],[11,21],[12,26],[14,21],[14,25],[14,26],[14,31],[14,39],[15,20],[17,26],[17,34],[17,40]]"
25,36,"[[3,7],[3,21],[3,32],[5,2],[5,6],[5,8],[5,31],[5,40],[5,41],[5,44],[6,4],[6,7],[6,15],[6,20],[6,22],[6,24],[6,43],[8,21],[8,39],[9,11],[9,16],[11,29],[12,21],[12,32],[14,17],[14,44],[15,4],[15,13],[15,15],[15,16],[15,39],[17,3],[17,14],[17,30],[17,30],[17,41]]"
26,36,"[[3,6],[3,38],[5,2],[5,23],[5,29],[5,40],[6,3],[6,12],[6,16],[6,38],[6,39],[8,2],[8,26],[11,6],[11,16],[11,16],[11,29],[11,39],[12,11],[12,21],[12,38],[12,38],[14,3],[14,4],[14,17],[14,21],[14,26],[14,40],[14,41],[15,7],[15,13],[15,20],[17,8],[17,20],[17,24],[17,26]]"
27,36,"[[3,38],[3,40],[3,44],[5,2],[5,6],[6,3],[6,26],[8,24],[9,5],[9,17],[9,20],[9,39],[11,2],[11,26],[11,26],[11,42],[12,4],[12,13],[12,16],[12,21],[12,23],[12,34],[12,38],[12,41],[12,42],[14,15],[14,16],[14,20],[14,39],[15,8],[15,16],[15,17],[15,17],[15,33],[17,22],[17,26]]"
28,36,"[[3,12],[3,14],[3,26],[3,32],[3,35],[5,22],[6,2],[6,14],[6,21],[6,38],[6,38],[6,42],[8,13],[8,38],[9,5],[9,12],[9,17],[9,24],[9,44],[11,31],[11,40],[11,43],[12,25],[12,26],[14,7],[14,26],[14,33],[14,40],[15,7],[15,32],[15,34],[17,11],[17,16],[17,17],[17,23],[17,43]]"
29,36,"[[3,5],[3,23],[3,35],[3,44],[5,3],[5,4],[5,7],[5,34],[6,8],[6,12],[6,25],[6,33],[8,5],[8,20],[8,21],[8,32],[8,33],[9,16],[9,33],[9,42],[11,34],[11,42],[12,4],[14,6],[14,8],[14,8],[14,21],[14,23],[14,23],[14,31],[14,44],[15,40],[17,8],[17,15],[17,23],[17,31]]"
30,36,"[[3,13],[3,17],[3,24],[3,32],[3,39],[6,4],[6,15],[6,35],[8,6],[8,21],[8,30],[8,34],[9,15],[9,24],[9,31],[9,43],[11,14],[11,30],[11,31],[11,38],[11,39],[12,8],[12,16],[12,22],[12,23],[12,29],[12,33],[12,34],[12,41],[14,13],[14,25],[14,39],[15,3],[15,41],[17,6],[17,21]]"
