iteration_id,task_count,task_locations
1,72,"[[3,3],[3,11],[3,22],[3,24],[3,25],[3,29],[3,35],[3,42],[3,44],[5,2],[5,4],[5,17],[5,29],[5,32],[5,38],[6,4],[6,16],[6,21],[6,32],[6,35],[8,11],[8,12],[8,20],[8,24],[8,31],[8,41],[8,43],[9,3],[9,3],[9,14],[9,16],[9,20],[9,22],[9,30],[9,33],[9,38],[9,41],[9,44],[11,3],[11,11],[11,14],[11,20],[11,20],[11,29],[11,31],[11,42],[12,2],[12,4],[12,8],[12,14],[12,21],[12,34],[14,7],[14,11],[14,12],[14,14],[15,2],[15,3],[15,3],[15,15],[15,24],[15,33],[15,35],[17,8],[17,12],[17,16],[17,22],[17,29],[17,38],[17,39],[17,42],[17,44]]"
2,72,"[[3,5],[3,17],[3,21],[3,21],[3,38],[5,2],[5,2],[5,6],[5,14],[5,23],[5,31],[5,31],[5,44],[6,2],[6,3],[6,14],[6,14],[6,26],[6,32],[8,3],[8,5],[8,14],[8,15],[8,22],[8,22],[8,29],[8,39],[8,40],[9,11],[9,12],[9,12],[9,22],[9,23],[9,32],[9,33],[9,34],[9,35],[9,40],[9,42],[9,44],[11,17],[11,22],[11,26],[11,38],[12,6],[12,16],[12,24],[12,26],[12,31],[12,32],[12,33],[12,42],[12,43],[14,3],[14,4],[14,13],[14,15],[14,15],[14,20],[14,25],[14,34],[14,43],[15,16],[15,17],[15,21],[15,31],[15,39],[17,4],[17,13],[17,16],[17,34],[17,40]]"
3,72,"[[3,4],[3,20],[5,14],[5,15],[5,29],[5,33],[5,42],[6,4],[6,21],[6,29],[6,32],[6,33],[6,40],[8,2],[8,7],[8,15],[8,30],[8,38],[8,40],[8,42],[9,3],[9,7],[9,11],[9,11],[9,24],[9,42],[9,43],[11,2],[11,4],[11,12],[11,16],[11,20],[11,21],[11,24],[11,32],[11,33],[11,34],[11,40],[11,43],[12,6],[12,7],[12,11],[12,11],[12,13],[12,20],[12,24],[12,24],[12,33],[12,34],[12,38],[12,42],[14,2],[14,4],[14,23],[14,29],[14,30],[14,38],[14,39],[15,11],[15,16],[15,17],[15,31],[15,40],[15,44],[15,44],[17,3],[17,3],[17,25],[17,29],[17,31],[17,35],[17,42]]"
4,72,"[[3,12],[3,15],[3,17],[3,21],[3,23],[3,33],[3,34],[3,34],[3,42],[3,43],[5,2],[5,4],[5,6],[5,16],[5,21],[5,26],[5,35],[5,38],[5,43],[6,13],[6,15],[6,21],[6,21],[6,31],[6,41],[6,44],[8,2],[8,2],[8,12],[8,21],[8,22],[8,30],[8,39],[8,40],[9,3],[9,8],[9,41],[11,4],[11,5],[11,11],[11,11],[11,15],[11,16],[11,24],[11,24],[11,31],[11,32],[11,32],[11,33],[12,4],[12,6],[12,12],[12,24],[12,34],[12,35],[14,3],[14,4],[14,11],[14,12],[14,30],[14,30],[15,11],[15,23],[15,30],[15,33],[15,38],[15,39],[15,41],[17,7],[17,16],[17,32],[17,38]]"
5,72,"[[3,4],[3,4],[3,30],[3,33],[3,35],[3,39],[3,43],[5,7],[5,12],[5,14],[5,14],[5,14],[5,30],[5,39],[5,43],[6,7],[6,20],[6,25],[6,33],[6,44],[8,8],[8,12],[8,13],[8,15],[8,33],[8,35],[8,35],[8,38],[8,40],[8,43],[9,5],[9,11],[9,13],[9,14],[9,34],[9,35],[9,41],[9,43],[11,15],[11,22],[11,32],[11,33],[11,40],[11,44],[12,3],[12,12],[12,32],[12,41],[12,43],[12,44],[14,4],[14,5],[14,20],[14,25],[14,26],[14,35],[14,38],[15,3],[15,7],[15,11],[15,13],[15,24],[15,38],[15,39],[17,7],[17,12],[17,14],[17,24],[17,25],[17,26],[17,29],[17,40]]"
6,72,"[[3,4],[3,17],[3,21],[3,26],[3,26],[3,38],[3,42],[3,43],[5,15],[5,17],[5,22],[5,29],[5,33],[5,38],[6,6],[6,16],[6,20],[6,22],[6,26],[8,4],[8,6],[8,7],[8,23],[8,42],[9,5],[9,16],[9,21],[9,24],[9,30],[9,31],[9,39],[11,2],[11,5],[11,8],[11,13],[11,14],[11,20],[11,24],[11,30],[11,34],[11,38],[12,21],[12,25],[12,33],[12,39],[12,42],[14,4],[14,6],[14,13],[14,17],[14,24],[14,29],[14,33],[14,33],[14,39],[14,40],[15,12],[15,14],[15,24],[15,26],[15,39],[15,43],[17,5],[17,7],[17,8],[17,14],[17,22],[17,26],[17,29],[17,34],[17,42],[17,44]]"
7,72,"[[3,11],[3,13],[3,17],[3,20],[3,24],[3,34],[3,39],[3,40],[3,40],[3,43],[5,3],[5,4],[5,21],[5,30],[5,30],[5,33],[6,5],[6,12],[6,13],[6,15],[6,33],[6,33],[6,41],[8,21],[8,24],[8,25],[8,25],[8,29],[9,4],[9,6],[9,8],[9,11],[9,20],[9,21],[9,26],[11,4],[11,12],[11,12],[11,16],[11,29],[11,31],[11,32],[11,42],[12,5],[12,8],[12,11],[12,14],[12,15],[12,33],[12,38],[12,38],[14,7],[14,12],[14,22],[14,23],[14,29],[14,42],[14,43],[15,2],[15,4],[15,17],[15,29],[15,41],[17,2],[17,5],[17,11],[17,25],[17,26],[17,31],[17,41],[17,42],[17,44]]"
8,72,"[[3,2],[3,20],[3,21],[3,26],[3,26],[3,29],[3,32],[3,39],[3,43],[5,5],[5,12],[5,13],[5,14],[5,31],[5,38],[5,44],[6,4],[6,7],[6,15],[6,20],[6,22],[6,23],[6,43],[8,6],[8,6],[8,12],[8,16],[8,16],[8,23],[8,29],[9,5],[9,5],[9,7],[9,23],[9,31],[9,35],[11,4],[11,13],[11,17],[11,20],[11,21],[11,29],[11,42],[12,2],[12,5],[12,8],[12,15],[14,3],[14,20],[14,20],[14,23],[14,29],[14,29],[14,30],[14,30],[14,43],[15,3],[15,8],[15,13],[15,25],[15,30],[15,32],[15,40],[15,44],[17,6],[17,11],[17,11],[17,16],[17,30],[17,33],[17,42],[17,42]]"
9,72,"[[3,15],[3,20],[3,24],[3,25],[3,29],[3,31],[3,42],[3,44],[5,7],[5,12],[5,13],[5,23],[5,31],[5,34],[5,39],[5,42],[6,15],[6,20],[6,21],[6,22],[6,29],[6,35],[6,44],[8,3],[8,21],[8,33],[8,34],[9,4],[9,5],[9,14],[9,21],[9,23],[9,29],[9,34],[11,6],[11,8],[11,13],[11,14],[11,15],[11,32],[11,34],[12,5],[12,21],[12,24],[12,26],[14,3],[14,6],[14,8],[14,12],[14,15],[14,16],[14,17],[14,23],[14,39],[14,42],[14,43],[15,8],[15,20],[15,23],[15,31],[15,34],[15,38],[15,39],[15,44],[17,4],[17,5],[17,13],[17,16],[17,23],[17,25],[17,31],[17,39]]"
10,72,"[[3,5],[3,5],[3,13],[3,14],[3,20],[3,24],[3,24],[3,26],[3,35],[3,35],[5,3],[5,7],[5,11],[5,29],[5,33],[5,38],[5,39],[5,39],[5,42],[6,6],[6,25],[6,26],[6,31],[6,32],[8,3],[8,20],[8,29],[9,3],[9,6],[9,13],[9,26],[9,38],[9,39],[9,43],[11,4],[11,5],[11,11],[11,12],[11,17],[11,21],[11,26],[11,34],[11,43],[12,2],[12,6],[12,6],[12,12],[12,13],[12,15],[12,21],[12,30],[12,38],[14,5],[14,12],[14,24],[14,29],[14,29],[14,30],[14,39],[14,43],[14,43],[15,5],[15,6],[15,15],[15,38],[15,39],[15,39],[15,41],[17,17],[17,26],[17,30],[17,33]]"
