iteration_id,task_count,task_locations
1,72,"[[3,4],[3,5],[3,14],[3,17],[3,22],[3,31],[3,34],[3,35],[3,41],[5,11],[5,16],[5,23],[5,32],[5,44],[6,5],[6,8],[6,11],[6,15],[6,15],[6,23],[6,25],[6,34],[6,40],[8,2],[8,3],[8,12],[8,22],[8,23],[8,29],[8,31],[8,33],[8,44],[8,44],[9,2],[9,3],[9,14],[9,20],[9,29],[9,30],[9,32],[9,44],[11,11],[11,24],[11,25],[11,25],[11,43],[12,20],[12,26],[12,30],[12,41],[14,2],[14,12],[14,12],[14,13],[14,21],[14,23],[14,29],[14,30],[14,43],[14,44],[15,2],[15,20],[15,22],[15,24],[15,29],[15,31],[15,33],[15,41],[15,42],[15,43],[17,29],[17,43]]"
2,72,"[[3,2],[3,12],[3,13],[3,14],[3,20],[3,29],[3,30],[3,34],[3,42],[5,2],[5,33],[5,43],[5,44],[6,13],[6,29],[6,35],[6,43],[6,44],[8,2],[8,3],[8,13],[8,20],[8,20],[8,20],[8,21],[8,31],[8,34],[9,4],[9,11],[9,17],[9,40],[9,43],[11,3],[11,7],[11,8],[11,11],[11,12],[11,25],[11,29],[11,29],[11,30],[11,33],[11,41],[11,41],[12,8],[12,23],[12,29],[12,32],[12,39],[12,41],[12,41],[14,5],[14,6],[14,11],[14,11],[14,20],[14,24],[14,31],[14,31],[14,38],[15,13],[15,16],[15,17],[15,23],[15,24],[15,31],[15,41],[15,41],[17,20],[17,32],[17,34],[17,40]]"
3,72,"[[3,3],[3,7],[3,15],[3,16],[3,17],[3,20],[3,35],[3,44],[5,8],[5,8],[5,15],[5,20],[5,22],[5,25],[5,32],[5,39],[5,40],[5,40],[6,2],[6,6],[6,22],[6,24],[6,31],[6,34],[6,35],[6,43],[8,4],[8,6],[8,11],[8,15],[8,16],[8,25],[8,26],[8,40],[8,42],[8,43],[9,11],[9,11],[9,12],[9,25],[9,29],[9,38],[9,38],[11,22],[11,26],[11,30],[11,32],[11,40],[11,42],[12,5],[12,7],[12,25],[12,26],[12,34],[14,2],[14,25],[14,32],[14,38],[15,7],[15,7],[15,12],[15,21],[15,30],[15,32],[15,43],[17,4],[17,4],[17,12],[17,15],[17,16],[17,29],[17,31]]"
4,72,"[[3,4],[3,5],[3,8],[3,11],[3,20],[3,26],[3,30],[3,33],[3,33],[3,38],[3,43],[5,4],[5,15],[5,30],[5,39],[5,41],[6,2],[6,7],[6,16],[6,29],[6,33],[8,21],[8,23],[8,29],[8,33],[8,39],[8,40],[9,23],[9,25],[9,25],[9,26],[9,34],[9,35],[11,4],[11,11],[11,12],[11,12],[11,34],[11,40],[12,13],[12,16],[12,31],[12,33],[12,43],[14,4],[14,5],[14,5],[14,8],[14,29],[14,31],[14,39],[14,44],[15,8],[15,16],[15,22],[15,29],[15,35],[15,39],[15,40],[17,4],[17,5],[17,7],[17,11],[17,15],[17,15],[17,20],[17,23],[17,26],[17,30],[17,31],[17,41],[17,43]]"
5,72,"[[3,13],[3,14],[3,20],[3,20],[3,26],[3,29],[3,30],[3,39],[3,41],[5,3],[5,15],[5,15],[5,25],[5,34],[5,44],[6,14],[6,16],[6,20],[6,20],[6,21],[6,21],[6,35],[6,44],[8,2],[8,6],[8,6],[8,16],[8,16],[8,39],[8,43],[9,4],[9,20],[9,33],[11,3],[11,7],[11,11],[11,26],[11,26],[11,33],[11,34],[11,35],[12,4],[12,4],[12,6],[12,13],[12,14],[12,15],[12,25],[12,29],[12,31],[12,33],[12,42],[12,44],[14,16],[14,22],[14,26],[14,32],[14,38],[15,2],[15,20],[15,22],[15,30],[15,33],[15,41],[17,11],[17,12],[17,16],[17,24],[17,33],[17,38],[17,41],[17,42]]"
6,72,"[[3,8],[3,11],[3,11],[3,29],[3,39],[3,44],[5,2],[5,15],[5,17],[5,24],[5,25],[5,26],[5,30],[5,31],[6,4],[6,6],[6,7],[6,15],[6,16],[6,20],[6,20],[6,20],[6,22],[6,31],[6,35],[6,38],[6,41],[6,44],[8,11],[8,14],[8,32],[8,32],[8,39],[9,11],[9,26],[9,29],[9,34],[9,35],[9,38],[9,44],[11,2],[11,7],[11,11],[11,13],[11,14],[11,20],[11,22],[12,2],[12,22],[12,34],[12,39],[12,40],[12,40],[14,4],[14,6],[14,13],[14,15],[14,15],[14,21],[14,29],[14,30],[14,42],[15,14],[15,21],[15,30],[15,35],[17,5],[17,7],[17,8],[17,8],[17,21],[17,22]]"
7,72,"[[3,4],[3,6],[3,14],[3,17],[3,23],[3,26],[3,26],[3,30],[3,31],[3,33],[3,35],[3,41],[5,5],[5,7],[5,13],[5,16],[5,39],[5,41],[6,14],[6,16],[6,20],[8,5],[8,7],[8,17],[8,17],[8,21],[8,26],[8,26],[8,32],[8,32],[9,3],[9,8],[9,11],[9,16],[9,22],[9,30],[9,32],[9,33],[9,40],[9,44],[11,11],[11,15],[11,22],[11,34],[11,41],[11,41],[12,5],[12,11],[12,14],[12,44],[14,2],[14,11],[14,24],[14,44],[15,5],[15,8],[15,13],[15,22],[15,32],[15,33],[15,33],[15,38],[15,41],[15,44],[17,4],[17,5],[17,12],[17,14],[17,22],[17,24],[17,24],[17,32]]"
8,72,"[[3,2],[3,3],[3,15],[3,21],[3,24],[3,34],[5,15],[5,22],[5,26],[5,30],[5,32],[5,35],[5,44],[6,7],[6,11],[6,17],[6,17],[6,21],[6,38],[6,42],[8,11],[8,21],[8,21],[8,22],[8,30],[8,34],[8,34],[8,35],[8,42],[9,8],[9,11],[9,13],[9,13],[9,20],[9,23],[9,26],[9,26],[9,30],[9,35],[11,12],[11,29],[11,35],[11,38],[11,39],[11,41],[11,42],[12,2],[12,6],[12,8],[12,23],[12,41],[14,11],[14,24],[14,25],[14,32],[14,38],[14,42],[14,44],[15,6],[15,13],[15,22],[15,40],[15,41],[15,42],[15,43],[17,2],[17,17],[17,26],[17,31],[17,32],[17,33],[17,35]]"
9,72,"[[3,3],[3,4],[3,5],[3,15],[3,31],[3,39],[5,3],[5,13],[5,15],[5,35],[5,40],[5,42],[6,3],[6,11],[6,13],[6,21],[6,24],[6,24],[6,31],[6,41],[6,41],[8,8],[8,8],[8,13],[8,14],[8,32],[8,35],[8,39],[9,5],[9,15],[9,16],[9,24],[9,24],[9,30],[9,38],[9,43],[11,3],[11,11],[11,12],[11,23],[11,29],[12,2],[12,3],[12,3],[12,12],[12,16],[12,33],[12,44],[12,44],[14,11],[14,14],[14,20],[14,22],[14,23],[14,29],[14,30],[14,34],[14,41],[14,41],[15,5],[15,13],[15,26],[15,29],[15,31],[15,41],[17,3],[17,6],[17,6],[17,13],[17,31],[17,40],[17,40]]"
10,72,"[[3,3],[3,17],[3,24],[3,34],[3,35],[5,2],[5,4],[5,5],[5,22],[5,23],[5,25],[5,29],[5,30],[5,38],[5,42],[5,43],[5,44],[6,4],[6,5],[6,13],[6,15],[6,23],[6,23],[6,35],[8,2],[8,4],[8,17],[8,17],[8,23],[8,23],[8,30],[8,38],[8,40],[8,42],[8,44],[9,21],[9,25],[9,33],[9,35],[9,41],[11,8],[11,12],[11,20],[11,24],[11,29],[11,30],[11,38],[11,38],[12,3],[12,26],[14,16],[14,17],[14,22],[14,29],[14,30],[14,41],[14,41],[14,42],[15,6],[15,6],[15,11],[15,15],[15,24],[15,31],[15,38],[17,2],[17,5],[17,13],[17,15],[17,30],[17,32],[17,35]]"
