iteration_id,task_count,task_locations
1,36,"[[3,5],[3,7],[3,17],[3,26],[3,41],[3,42],[5,24],[5,30],[5,38],[6,11],[6,25],[6,31],[6,39],[8,5],[8,6],[8,8],[8,21],[9,4],[9,8],[9,12],[9,13],[9,40],[11,20],[11,42],[11,42],[12,4],[12,26],[12,32],[12,34],[15,17],[15,20],[17,3],[17,4],[17,15],[17,32],[17,44]]"
2,36,"[[3,2],[3,6],[3,7],[3,14],[3,22],[5,30],[6,33],[8,4],[8,7],[8,25],[8,29],[9,3],[9,14],[9,42],[11,17],[11,34],[11,39],[11,40],[11,43],[12,15],[12,38],[12,39],[12,41],[14,7],[14,13],[14,20],[14,33],[14,42],[15,5],[15,25],[15,32],[15,44],[17,7],[17,13],[17,14],[17,41]]"
3,36,"[[3,17],[3,23],[3,40],[5,2],[5,7],[5,17],[5,23],[5,42],[5,43],[6,21],[6,41],[8,4],[8,25],[8,31],[9,24],[9,25],[9,30],[11,21],[11,30],[11,38],[11,39],[12,5],[12,8],[12,13],[12,30],[14,3],[14,8],[14,21],[15,4],[15,7],[15,13],[15,21],[15,35],[15,39],[17,33],[17,42]]"
4,36,"[[3,3],[3,6],[3,15],[3,21],[3,41],[5,32],[6,2],[6,22],[6,41],[8,7],[8,8],[8,13],[8,17],[8,41],[9,41],[11,7],[11,11],[11,14],[11,23],[12,6],[12,13],[12,24],[12,25],[12,30],[14,5],[14,23],[14,38],[15,14],[15,17],[15,17],[15,23],[15,39],[15,42],[17,3],[17,8],[17,30]]"
5,36,"[[3,11],[3,13],[5,6],[5,20],[5,30],[5,34],[5,41],[5,42],[6,4],[6,7],[6,11],[6,14],[6,41],[6,42],[8,6],[8,33],[9,2],[9,22],[9,32],[9,39],[11,20],[11,24],[12,3],[12,12],[12,41],[12,44],[14,8],[14,13],[14,30],[15,13],[15,14],[15,21],[15,38],[17,11],[17,40],[17,41]]"
6,36,"[[3,3],[3,4],[3,14],[3,15],[3,24],[5,11],[5,13],[5,32],[5,38],[6,15],[6,44],[8,2],[8,4],[8,11],[8,22],[8,23],[9,22],[9,31],[11,6],[11,6],[11,16],[11,32],[11,43],[12,13],[12,15],[12,39],[12,41],[14,25],[14,34],[14,40],[15,11],[15,20],[15,32],[17,12],[17,26],[17,29]]"
7,36,"[[3,7],[3,21],[3,31],[3,31],[5,5],[5,6],[5,12],[5,31],[5,38],[5,39],[5,40],[6,35],[6,42],[8,17],[8,31],[9,8],[9,12],[9,16],[11,3],[11,11],[11,14],[11,24],[11,25],[11,26],[11,40],[12,3],[14,5],[14,20],[14,44],[15,26],[15,44],[17,6],[17,12],[17,26],[17,29],[17,34]]"
8,36,"[[3,17],[3,21],[3,26],[3,29],[3,38],[3,39],[5,15],[5,32],[5,40],[6,3],[6,14],[6,26],[6,43],[6,43],[8,17],[8,25],[8,30],[8,34],[9,29],[9,30],[9,38],[9,41],[11,16],[11,21],[11,23],[11,34],[12,4],[12,11],[12,12],[12,20],[12,22],[14,25],[15,29],[17,13],[17,20],[17,22]]"
9,36,"[[3,23],[3,24],[3,31],[3,35],[5,16],[5,23],[5,25],[5,31],[6,6],[6,12],[6,20],[6,22],[6,40],[8,5],[8,22],[8,38],[9,14],[9,25],[9,31],[11,5],[11,17],[11,33],[11,35],[11,43],[12,11],[12,21],[12,38],[14,39],[14,40],[15,8],[15,8],[15,21],[17,11],[17,16],[17,21],[17,30]]"
10,36,"[[3,5],[3,7],[3,23],[3,32],[3,42],[5,7],[5,32],[5,43],[5,44],[6,5],[6,7],[6,42],[6,43],[8,17],[8,43],[9,26],[9,29],[9,30],[11,31],[12,8],[12,11],[12,41],[12,44],[14,14],[14,23],[14,25],[14,29],[14,44],[15,8],[15,11],[15,12],[15,43],[17,20],[17,24],[17,31],[17,35]]"
11,36,"[[3,6],[3,12],[3,14],[3,15],[3,20],[3,26],[3,31],[3,35],[3,39],[5,7],[5,13],[5,43],[5,44],[6,21],[6,22],[8,5],[8,8],[8,14],[8,33],[9,2],[9,12],[9,29],[9,35],[9,38],[11,5],[11,6],[11,8],[11,14],[11,21],[12,14],[12,43],[14,26],[14,32],[15,35],[17,8],[17,32]]"
12,36,"[[3,6],[3,31],[3,33],[3,39],[5,6],[5,11],[5,14],[5,31],[5,38],[5,38],[6,8],[6,44],[8,11],[8,12],[8,17],[8,20],[8,32],[9,4],[9,6],[9,24],[9,42],[11,5],[11,7],[12,31],[12,39],[14,5],[14,33],[14,35],[15,4],[15,24],[15,31],[15,33],[17,4],[17,7],[17,31],[17,34]]"
